patient_id,full_name,birth_date,gender,ssn,diagnosis_code,treatment_start,email,country,insurance_number,chronic_condition,notes,last_visit_lat,last_visit_long,referred_by,blood_type,phone
eab9eb02-2f1d-4121-bd02-4c6d8bea75c1,Wanda Bernard,1943/05/20,Unknown,537-05-1218,CXX.99,11-11-2024,gutierrezmegan@jones.com,123,GQOL09977008860084,Yes,Admit spend purpose south travel. Truth modern drive people. Spring environment however health image.,47.80702,-43.06283,,B+,+1-591-803-3974x0148
d9b59f84-edc3-41c3-adea-2d2d086c405f,Tyrone Matthews,2001/01/10,Unknown,771-92-6526,CXX.99,24-09-2024,francisco39@rhodes-fernandez.biz,BR,YXEZ18501631599965,,"Situation late direction need heart.
Produce beat peace something require bank child Republican. Science first blood accept.",-20.0057,60.7945,Jason Maxwell,,000-0000
fa698cd2-fe23-40f3-a7bb-aefc8f3dc97f,Joseph Jennings,2022/12/26,F,174-18-4406,CXX.99,31-03-2025,trevor12@yahoo.com,DE,INJP15437993712406,No,Here television key issue statement prepare organization feel. Water cut fire who why fact reason make. Site for exactly skill half usually customer.,-65.57409,-13.78856,,AB+,(179)796-8868x0589
3f8c1097-c4da-4c2e-9bff-a27915c1604f,Heather Holland,2011/03/11,O,046-73-6548,,11-04-2025,grodriguez@yahoo.com,BR,HQXQ89937567982507,No,Indeed which break wait center. Gas six miss give best.,44.82437,-161.24918,Allen Mendez,O-,796.603.3419
5da49cb9-2fdc-4992-8971-8eeadf3a098a,Jim Baker,1938/03/08,M,884-63-8647,J45.9,11-01-2025,hotmail.com,CA,KTMT69155792499125,maybe,Figure consumer really memory industry. Offer institution main Mr.,11.51452,-101.53277,Katherine Miller,B+,000-0000
085eb489-4ac6-4780-b874-9f3cc2d49b56,Joshua Jackson,1928/07/14,M,469-73-8116,I10,09-01-2025,adamsamy@weaver-sherman.info,US,RGND34074517133959,,Coach cause deal deal arrive go. Others collection without fall of. World quickly believe while size try yeah. Reduce car chair focus.,38.70265,-152.64127,John Perkins,,001-175-186-3637x45458
c9ce44bd-7c3f-4add-9a38-5db590eeb067,Michael Williams,2002/12/28,O,102-81-7530,C34.1,11-08-2023,nobleeric@smith-rubio.com,US,WEUJ24154152064361,,"Degree back order. Quite act receive stage write institution car.
Him room bill finish thing. Him spend themselves political.",-77.58779,53.11557,,AB+,121-965-6523
99db1302-8dab-46d3-bf87-dfc2159152f2,Lisa Maxwell,1962/01/11,O,708-04-4943,???,13-09-2024,juliephillips@bowers.info,,MDHP91805526965827,1,Onto add democratic. We huge expert Republican.,75.53118,98.87092,Tim Wilson,,+1-904-210-2027x588
bff15840-207e-463f-9f32-d5d82abe1585,Debra Tanner,2022/06/06,F,790-04-5489,C34.1,19-11-2023,alexandria49@hotmail.com,123,CPOQ50792524191380,,"Each line him.
Use tax need trial. Different eat trouble floor step number.",-1.02483,-62.9949,Richard Stevenson,B+,759.738.3206
d6ee526b-a2cd-4590-98af-393c8aa2b4c9,Alexandra Rogers,1927/08/03,,778-85-6165,F32.1,29-10-2023,harristonya@yahoo.com,CA,,,Win central evidence analysis. Today mind red head window. Oil measure PM hour.,46.46964,68.61936,Samantha Terry,AB+,3521356804
f3bc9a71-07f4-4ee5-ac82-989ffd9cfbb0,Jesse Adkins,N/A,O,256-13-7571,J45.9,27-01-2025,davidbrown@anderson.com,BR,VUUC99410137215107,0,Under item right many.,44.26838,-60.91513,Hailey Cunningham,B+,642-059-3040x78593
443b1d0f-3dbc-4093-a828-44423f738f50,Raven Mclaughlin,1946/01/21,F,783-29-9433,CXX.99,18-07-2023,savannah22@gmail.com,CA,SKZX59059929378427,maybe,,16.12564,93.67484,Anthony Guzman,A+,8705932525
eacf33a9-b466-4ab6-962c-04dd25d07461,Brian Fox,1932/06/09,O,374-10-6121,E11.9,19-05-2023,rogersmarcus@gmail.com,US,XNZU75289539264422,1,"Hot yes whole allow own TV whose.
Bit many former back get floor player. Start prove role from.
Decide really go skin result.",-67.26969,132.64603,Ronald Kramer,A+,001-327-104-0541
29310971-601e-4211-a34f-76b42b8c03bf,Kimberly Villanueva,1934/06/07,Unknown,096-44-9733,E11.9,22-01-2024,reynoldsdesiree@hotmail.com,US,NFBD53368844431069,,Child guess into far product outside current. Deal point with. Such final however major produce before name.,13.86381,67.12237,,Unknown,+1-693-806-8687
143665f5-4c81-4260-b9ec-533c3c53090e,Scott Johnson,2002/04/12,F,585-67-9364,,16-03-2025,averyshane@stanton.com,CA,BNCV63294511686854,,True actually red onto site both change. Onto serve vote understand none big experience. They there enough pressure occur list common.,-10.31022,129.66,Eric Manning,B+,001-546-913-7367x85082
22b9f24c-6744-4fb8-81bd-55d5b5a6571c,Kelly Carroll,1933/04/06,M,178-25-3289,J45.9,29-12-2023,antoniowilliams@bush-hill.info,US,QMUD03579727985524,Y,"Agree anyone take sister Democrat. Positive question especially important after.
Treatment positive over across education source figure.",-61.82413,-32.93367,Brian Brown,AB+,544-432-8309x652
4bacbedf-ff5a-429e-bf53-d344a7c854e4,Jason Price,2022/07/02,O,037-75-9373,???,21-05-2023,jessica38@glover.net,FR,JFVR24172482513534,N,He one less brother approach plant. Want author threat matter test high fear approach. Case customer important notice.,8.02123,53.1485,Aaron Ferguson,O-,000-0000
527c8f50-e45a-47e8-839a-8ed5f337b261,Kiara Smith,2023/10/11,O,005-81-4077,F32.1,15-02-2024,larry16@chapman.com,FR,JOXQ98562575326033,1,Safe operation college hand practice. Heart policy side.,-1.11686,-151.04093,,AB+,914.117.3934x83564
352b6ec8-e90d-41cb-bf11-1a368c52d271,Karen Young,1946/02/28,M,014-86-1459,E11.9,01-06-2023,fhernandez@jones.com,FR,OJIO01204556110022,Y,Thus western environmental run head garden. Husband while even history. Son power someone both receive around wall.,27.27171,149.7862,,Unknown,001-277-167-0145x0899
85ea16e0-84e3-4774-969a-def0df865633,Lisa Reynolds,1954/10/26,M,745-32-7896,,03-10-2024,jhernandez@hotmail.com,123,BAUF87721753540838,,Stage bad know of because material. Budget market president bill include news. Stay social white.,-38.1208,160.26967,Courtney Peterson,Unknown,000-0000
5fb7474e-85a0-4089-8c35-73214abf6f5c,Amber Martin,2010/07/29,O,144-92-6705,,12-01-2025,cheryl31@lewis-summers.com,US,WKDY60917798270808,maybe,Lot meet TV concern official room campaign hold. Paper focus thing industry participant realize eat huge. Wife laugh card include record security.,-56.23514,-49.75943,Michelle Hodges,,+1-799-684-6081
0e7da698-ab95-472f-8d95-aaf5253421bc,Paul Martin,1927/10/10,O,294-88-4106,F32.1,21-02-2024,vaughnkenneth@johnson.net,US,,N,Home memory someone receive realize another high. What wish fine need actually edge.,-34.06498,-175.07719,Sarah Turner,O-,001-851-583-2818
1789be63-6746-4743-897b-303d8b074d1a,Stephen Alvarado,1946/01/09,Unknown,340-47-4810,I10,20-03-2024,wbarajas@smith.org,DE,THBV56164840858877,,Together court message way cold.,86.44403,-92.25687,Robert Grant,AB+,000-0000
685a9f2b-4236-40bf-a936-6a853a46fbe3,Mark Hamilton,2002/08/02,F,018-50-1939,F32.1,29-01-2025,avilabrenda@charles.com,FR,ZVJT14766072832684,1,"Quality trial some role health. Network never but.
Others Mr water fight security tough gas.",-39.08898,-72.51989,Michael Young,,913-577-5949x2995
3f05557c-502e-4818-813c-a9982b2bf58c,Michelle Davidson,1967/05/22,,284-47-2201,Z00.0,29-03-2024,wford@yahoo.com,BR,PRDF91428341108099,N,American seven discussion enough doctor protect. Traditional guess like lawyer another wonder food. Plant event score official now heavy her.,-47.015,-42.13049,Karen Garza,AB+,000-0000
0b0b81de-3e61-4d66-85bf-06186930b0c4,Kevin Taylor,2012/06/04,Unknown,525-06-9377,I10,07-02-2025,gmail.com,DE,BFIF86990413797723,0,Central old should perhaps member cold rate two. Opportunity discover history board dark teacher mean information. Painting concern top outside.,67.35427,-21.48976,Ralph Kent,AB+,000-0000
689d1205-8b31-44d8-a073-c1d09929afeb,Aaron Manning,1935/09/28,F,008-74-8562,F32.1,08-12-2023,brooksjamie@ortiz-rodriguez.biz,,,0,End movie north partner yeah. Sense including six lot have never. Write officer similar huge catch. Security land record class.,64.68159,-43.19662,Anita Baker,,(190)669-8490x277
cdcd0a34-ee46-4fcd-a829-907cd9beccff,Chloe Bowers,1925/10/16,,XXX-XX-XXXX,C34.1,05-10-2023,emilyward@smith.biz,FR,LVMM93801184895543,No,Include good movie red enjoy expert. Purpose start away use live government.,-72.28024,48.14922,Sarah Watson,AB+,000-0000
e5a1c6e4-e188-4146-bc40-a3d4e5eb4549,Denise White,1967/04/06,M,XXX-XX-XXXX,E11.9,18-05-2024,kwalker@gmail.com,CA,BQZN78085627187500,,Ok foot party employee nature down. When gas contain interest industry sell half.,52.65351,-118.80589,,AB+,+1-885-744-8906x1203
7329af6e-18a7-4d94-a13e-a66dd6c6d997,Debbie Ward,1958/12/10,,571-33-5639,???,06-05-2024,rmartinez@gonzalez.com,,,maybe,"Foot member simple land bad party. Place certain cold space front piece occur.
Class direction first fact. Painting house thought sit voice.",31.96996,-123.12878,Matthew Dalton,B+,778-487-2829x97968
58e0058f-e8af-401f-8f45-f6f788a613b4,Mr. Brandon Parker,2011/05/29,Unknown,423-34-2552,???,09-09-2024,smithlisa@gmail.com,BR,LJPR07740649308536,No,,12.94608,26.93229,Jessica Wright,B+,000-0000
60dc12eb-d413-4850-a3c4-e76da55fa725,Bobby Garrett,2021/08/20,Unknown,530-98-4455,E11.9,24-11-2024,robert12@gmail.com,123,JDUO97497350208021,1,"By just account bed address. Game find son your less.
Bag seek certainly entire hotel myself.",-48.57869,108.6955,Anna Wade,O-,764.520.8814
e3347bac-5c44-4bd1-b2df-8d454c7f03bb,Melvin Mcpherson,1989/10/30,F,242-82-7114,E11.9,08-09-2024,jacksonjoshua@gmail.com,DE,MZHA09792513271950,Y,,-36.88012,89.09311,,O-,5281273585
60b57717-b072-4fc8-8577-610831662c94,Chad Roach,1984/01/16,O,497-91-7169,F32.1,21-11-2024,llopez@hotmail.com,123,LKXO49821827448570,1,"Safe third people hair per fly. Probably much hold model. She child executive important focus benefit probably.
Condition all blood court.",-29.03125,-138.53891,Alexis Mccall,O-,+1-717-058-6509x4801
84fcfcb0-f5e9-4352-b745-39f2f1d188b9,Neil Schmidt,1965/09/11,Unknown,195-25-8622,CXX.99,01-07-2023,angelagrant@garcia.info,US,WVND22868528975585,No,Share issue rise part none degree. Unit effect which language however risk work. Administration career three according worker Democrat fire sign.,31.10911,62.04269,Mr. Steven Warner,,940-961-0556
c5384872-deaa-443e-9edb-be71de2a2ddf,Matthew Guzman,1981/01/08,F,012-82-6267,CXX.99,23-04-2025,alice58@hernandez.com,,,maybe,Send offer bed it skill challenge from. Number any human be maybe similar candidate. Lose cup house number.,-35.60577,-33.01349,,A+,521.103.9240
73373c2f-4e1c-4762-9c7c-b6edcde55848,Gary Singh,1971/01/20,M,217-27-8953,CXX.99,21-10-2024,jdean@hotmail.com,,WVAM98042043940701,,Production tree growth blue fall. Discuss herself with between firm term. Because current whom night Republican always two.,40.78785,138.74896,Courtney Peterson,AB+,(216)893-6392x6495
2379c05f-a708-4280-b4ee-0b6721bbd183,Melinda Harris,1985/06/19,O,XXX-XX-XXXX,Z00.0,26-06-2024,haley82@forbes-daugherty.com,CA,USFK18812520566474,No,Blood continue several partner environment. Partner others discuss ago bag sister care.,-23.87971,144.61064,Jennifer Crosby,A+,001-988-081-7703
0a0c64e5-bc34-4b4f-bbdc-532e6546c66d,Kelli Mccoy,1994/12/05,M,051-25-4771,???,22-06-2024,xwilkerson@yahoo.com,,OFNJ90827718129826,Yes,,-29.96835,175.97553,Jerry White,O-,000-0000
e1eeb1f1-33b1-40dc-a552-d0a8b66f3507,David Holt,2004/09/03,F,729-21-2025,J45.9,28-03-2025,mccarthycynthia@mills.net,DE,,Y,Bag outside each natural people newspaper. Any challenge president already take. Study fear turn any indicate condition public.,7.23878,107.46498,,A+,000-0000
42791490-5105-44f9-9909-49aa9bdd3d7a,Whitney Gomez,1963/06/03,F,133-79-9219,E11.9,28-03-2024,lvasquez@hotmail.com,,HWJG01071396605583,No,"Real effort attack feel nearly.
Rate game right pattern.
Create street two look.",-4.27573,100.08613,Chase Pittman,A+,682-996-2914x50461
d4575305-73b0-420d-9f20-19ea3cd61f5e,Cindy Turner,1991/12/25,,XXX-XX-XXXX,CXX.99,13-03-2025,kristen31@hunter-lloyd.net,US,,maybe,"Future low them financial force. State visit quality car.
Hold ten break financial analysis summer the.",-13.27075,-141.13374,Ashley Daniels,AB+,000-0000
b4508610-f17a-47a9-a43d-116d4563abbe,Laura Jackson,1999/02/07,,319-79-5550,I10,04-01-2024,andersonthomas@hotmail.com,DE,BDMB16629979545381,,Capital spend turn life lay range report. Like water century time election guy contain. Small think law air little goal.,5.50023,-16.66245,Michael Reynolds,A+,(958)321-9719x97581
11d1ce50-67e2-489b-b4b4-c7044edb6dc8,Melissa Carlson,1984/12/04,,840-49-5365,J45.9,15-09-2023,davislisa@hotmail.com,BR,YUZA22784699733549,maybe,"Response trip wrong old particularly member. System artist too whose.
Star grow technology tend dog reduce hour.",41.33025,-67.48259,Brandy Taylor,B+,(796)927-8687x65326
bb1d23a8-d8c8-43b0-bf87-36f193f3c702,Jonathan Jenkins,2006/08/13,Unknown,560-74-6013,C34.1,07-05-2023,carrolljanet@carpenter.com,,EXXQ47818913718949,Y,"Movement action law town off former.
Eye along type see risk. Employee picture official of prevent factor say. Expert bar measure.",15.56371,22.17111,Richard Young,A+,(805)129-2766
2ad3136f-a338-47fa-b9db-138870aff6eb,Nicholas Reed,1956/09/19,Unknown,658-34-1901,E11.9,26-09-2024,stevenalvarez@reese-goodwin.net,FR,HMVW67428604765801,N,,-3.20591,125.01895,Marcia Blanchard,Unknown,(945)441-4967x39385
8c30563f-5032-439c-ae0f-0484fe43541a,Adam Jones,2016/07/27,,422-13-8606,,19-10-2024,ubell@king-johnson.org,123,CBTV39111926921244,Yes,Police two everybody interview. Either sit everyone artist home you. Western enough key man up.,28.40962,69.64963,,B+,830-671-9855
ff3c6d4e-a1dc-4cab-8e21-3ce5668eb10e,Ann Nichols,2017/02/17,O,349-11-7531,I10,23-12-2023,gregorywilliams@yahoo.com,BR,,Yes,,5.48688,-44.57001,Elizabeth Price,O-,571-732-0309
8a619e64-caf0-4442-9020-48e6638644e0,Kathryn Hanna,1956/10/16,,832-58-0269,E11.9,15-05-2024,brian06@lewis.net,US,OVRE93102707903202,1,Collection have close during old card. Partner sing administration main according conference become prepare.,-13.67734,38.54736,Rachel Bailey,O-,8331819588
35469cb1-a8c9-4a31-a05f-f5e6c5346e41,Cory Hogan,1954/03/06,Unknown,702-61-8152,???,26-04-2024,elizabethwilliams@diaz.org,CA,ZYOB10822078113799,Yes,,-35.74451,-103.95577,,B+,635-315-3136x36317
251adf0e-6f94-4a50-a3f7-13a70de92f1b,Leon Thompson,2003/12/19,Unknown,383-18-7500,I10,12-05-2024,theresa35@johnson.com,CA,IEDO76253492929831,0,,65.11759,-164.77119,,A+,(873)977-4063x35693
014cc3a1-e5f3-4466-92de-0df8e9ebd446,Andrew Esparza,2004/11/15,,752-99-8262,,25-08-2023,eschmidt@nicholson.net,FR,YAWX63254310742799,maybe,"Less catch reflect continue the phone region.
Audience throw four allow international especially watch my.",75.55856,-148.27324,Andrea Fletcher,O-,253.817.9335
6c451540-ae23-46f3-80e9-b30044719067,Arthur Reed,1972/05/03,M,498-65-8630,F32.1,29-03-2025,rmckinney@lam.com,123,GOCC62411241272380,No,Wide must car get kitchen popular. Country against soon strong mind.,-55.09733,99.44216,Michelle Mitchell,,(223)105-9274
08e1624e-b506-424d-8fff-29f734850fcd,Vanessa Hernandez,1974/08/24,F,460-70-2664,I10,22-09-2023,knapprichard@yahoo.com,,,maybe,Until choose wife national medical positive far. Wide senior yes project son.,11.47239,28.60851,Jorge Lee,Unknown,998-056-2656x50455
3737cc38-166c-4d33-8f9f-dc15dfd23d15,Jill Riddle,1966/04/07,O,823-57-4729,Z00.0,12-04-2024,achandler@houston.com,BR,EGJP85196106462879,1,Control high network amount step. Fight nice less agree able enjoy what strong.,-26.6504,-153.29136,Jose Johnston,A+,000-0000
51d69f11-2569-4e13-8efa-899394e74f26,Michael Howard,1959/08/28,M,055-35-5918,C34.1,05-09-2023,brandon48@hotmail.com,BR,CQGY21928554451895,Yes,Carry example single. Future treat bill choice determine could.,55.76687,54.66148,Patrick Wilson,AB+,(234)232-1611
0ae263e0-6e66-4c0a-81e0-a4a17bf820f6,Andrew Keller,1926/11/22,Unknown,608-08-7686,Z00.0,23-12-2024,bradley40@patton.com,,SGFV50124955289389,N,Standard shake more respond. Commercial senior above rise under.,88.37748,8.66468,Kyle Collins,B+,386.463.1752x071
15c2f297-ad30-43ce-a896-9e7085cd3384,James Neal,1978/04/12,Unknown,105-95-2765,E11.9,06-04-2024,theresa53@anthony.biz,US,XPIY99465796784271,,,40.27206,56.36307,John Hall,O-,(010)170-2695
c29a988f-18a9-4210-9f8c-2c519f3936a5,Paul Saunders,1945/02/13,F,812-60-3309,F32.1,23-12-2023,qhenry@hotmail.com,BR,KZRR00616756770028,No,Man care resource maintain. Notice make network much.,-22.19772,104.9983,Matthew Watkins,,001-141-520-8507x698
96867676-783e-40ab-b22a-55a605391557,Eugene Hudson,1981/08/27,,331-74-1602,,25-11-2023,yahoo.com,FR,DWVG57852945637183,N,Answer you I difficult sea. Response official option event.,47.90812,-110.87812,Lisa Hammond,O-,000-0000
0f546781-a073-4e57-ba03-71f990ed01d3,Helen Hernandez,1983/05/13,M,155-96-4920,CXX.99,26-04-2025,eflores@hotmail.com,US,GNIJ24936312303477,Y,"Instead town dark evening ahead smile. Probably compare system white magazine. Area to finish.
Too imagine guy price. However style successful door.",-62.2345,-114.89545,Scott Brown,Unknown,+1-515-867-3425
05651e80-4ee4-4227-9245-00395e24296e,Susan Johnson,1989/01/04,Unknown,XXX-XX-XXXX,Z00.0,07-11-2024,johnnycruz@mullen.com,BR,RHOM06441343275604,maybe,,-46.94967,167.61479,Samantha Shepard,O-,656.124.8156x9857
